Indicator,Country,Date,value
Cumulative number of probable Ebola cases,Liberia,2015-03-27,1879
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-27,4301
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-27,3070
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-27,3407
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-27,1878
Cumulative number of probable Ebola deaths,Guinea,2015-03-27,398
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-27,9602
Cumulative number of confirmed Ebola cases,Liberia,2015-03-27,3151
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-27,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-27,158
Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-27,1
Cumulative number of probable Ebola cases,United Kingdom,2015-03-27,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-03-27,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-27,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-27,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-27,7
Cumulative number of probable Ebola cases,Mali,2015-03-27,1
Cumulative number of suspected Ebola cases,Mali,2015-03-27,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-27,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-27,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-27,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-27,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-27,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-27,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-27,1
Cumulative number of probable Ebola cases,Senegal,2015-03-27,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-27,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-27,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-27,1
Cumulative number of probable Ebola cases,Spain,2015-03-27,0
Cumulative number of suspected Ebola cases,Spain,2015-03-27,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-27,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-27,4
Cumulative number of probable Ebola cases,United States of America,2015-03-27,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-27,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-27,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-27,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-27,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-27,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-27,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-27,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-27,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-27,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-27,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-27,0
Cumulative number of probable Ebola deaths,Spain,2015-03-27,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-27,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-27,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-27,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-27,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-27,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-27,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-07,3515
Cumulative number of confirmed Ebola cases,Guinea,2015-04-07,3089
Cumulative number of probable Ebola cases,Guinea,2015-04-07,414
Cumulative number of suspected Ebola cases,Guinea,2015-04-07,12
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-04-07,2333
Cumulative number of confirmed Ebola deaths,Guinea,2015-04-07,1919
Cumulative number of probable Ebola deaths,Guinea,2015-04-07,414
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-07,9862
Cumulative number of confirmed Ebola cases,Liberia,2015-04-07,3151
Cumulative number of probable Ebola cases,Liberia,2015-04-07,1879
Cumulative number of suspected Ebola cases,Liberia,2015-04-07,4832
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-04-07,4408
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-04-07,12139
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-04-07,8555
Cumulative number of probable Ebola cases,Sierra Leone,2015-04-07,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-04-07,3297
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-04-07,3832
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-04-07,3466
Cumulative number of probable Ebola deaths,Sierra Leone,2015-04-07,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-04-07,158
Cumulative number of confirmed Ebola cases,United Kingdom,2015-04-07,1
Cumulative number of probable Ebola cases,United Kingdom,2015-04-07,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-04-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-04-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-04-07,1
Cumulative number of confirmed Ebola cases,Mali,2015-04-07,7
Cumulative number of probable Ebola cases,Mali,2015-04-07,1
Cumulative number of suspected Ebola cases,Mali,2015-04-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-04-07,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-04-07,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-04-07,19
Cumulative number of probable Ebola cases,Nigeria,2015-04-07,1
Cumulative number of suspected Ebola cases,Nigeria,2015-04-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-04-07,20
Cumulative number of confirmed Ebola cases,Senegal,2015-04-07,1
Cumulative number of probable Ebola cases,Senegal,2015-04-07,0
Cumulative number of suspected Ebola cases,Senegal,2015-04-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-07,1
Cumulative number of confirmed Ebola cases,Spain,2015-04-07,1
Cumulative number of probable Ebola cases,Spain,2015-04-07,0
Cumulative number of suspected Ebola cases,Spain,2015-04-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-04-07,1
Cumulative number of confirmed Ebola cases,United States of America,2015-04-07,4
Cumulative number of probable Ebola cases,United States of America,2015-04-07,0
Cumulative number of suspected Ebola cases,United States of America,2015-04-07,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-04-07,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-04-07,7
Cumulative number of probable Ebola deaths,Nigeria,2015-04-07,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-04-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-04-07,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-04-07,0
Cumulative number of probable Ebola deaths,Senegal,2015-04-07,0
Cumulative number of suspected Ebola deaths,Senegal,2015-04-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-04-07,0
Cumulative number of confirmed Ebola deaths,Spain,2015-04-07,0
Cumulative number of probable Ebola deaths,Spain,2015-04-07,0
Cumulative number of suspected Ebola deaths,Spain,2015-04-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-04-07,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-04-07,1
Cumulative number of probable Ebola deaths,United States of America,2015-04-07,0
Cumulative number of suspected Ebola deaths,United States of America,2015-04-07,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-04-07,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-09,3515
Cumulative number of confirmed Ebola cases,Guinea,2015-04-09,3093
Cumulative number of probable Ebola cases,Guinea,2015-04-09,414
Cumulative number of suspected Ebola cases,Guinea,2015-04-09,8
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-04-09,2335
Cumulative number of confirmed Ebola deaths,Guinea,2015-04-09,1921
Cumulative number of probable Ebola deaths,Guinea,2015-04-09,414
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-09,9862
Cumulative number of confirmed Ebola cases,Liberia,2015-04-09,3151
Cumulative number of probable Ebola cases,Liberia,2015-04-09,1879
Cumulative number of suspected Ebola cases,Liberia,2015-04-09,4832
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-04-09,4408
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-04-09,12155
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-04-09,8558
Cumulative number of probable Ebola cases,Sierra Leone,2015-04-09,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-04-09,3310
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-04-09,3841
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-04-09,3475
Cumulative number of probable Ebola deaths,Sierra Leone,2015-04-09,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-04-09,158
Cumulative number of confirmed Ebola cases,United Kingdom,2015-04-09,1
Cumulative number of probable Ebola cases,United Kingdom,2015-04-09,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-04-09,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-04-09,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-04-09,1
Cumulative number of confirmed Ebola cases,Mali,2015-04-09,7
Cumulative number of probable Ebola cases,Mali,2015-04-09,1
Cumulative number of suspected Ebola cases,Mali,2015-04-09,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-04-09,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-04-09,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-04-09,19
Cumulative number of probable Ebola cases,Nigeria,2015-04-09,1
Cumulative number of suspected Ebola cases,Nigeria,2015-04-09,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-04-09,20
Cumulative number of confirmed Ebola cases,Senegal,2015-04-09,1
Cumulative number of probable Ebola cases,Senegal,2015-04-09,0
Cumulative number of suspected Ebola cases,Senegal,2015-04-09,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-04-09,1
Cumulative number of confirmed Ebola cases,Spain,2015-04-09,1
Cumulative number of probable Ebola cases,Spain,2015-04-09,0
Cumulative number of suspected Ebola cases,Spain,2015-04-09,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-04-09,1
Cumulative number of confirmed Ebola cases,United States of America,2015-04-09,4
Cumulative number of probable Ebola cases,United States of America,2015-04-09,0
Cumulative number of suspected Ebola cases,United States of America,2015-04-09,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-04-09,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-04-09,7
Cumulative number of probable Ebola deaths,Nigeria,2015-04-09,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-04-09,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-04-09,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-04-09,0
Cumulative number of probable Ebola deaths,Senegal,2015-04-09,0
Cumulative number of suspected Ebola deaths,Senegal,2015-04-09,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-04-09,0
Cumulative number of confirmed Ebola deaths,Spain,2015-04-09,0
Cumulative number of probable Ebola deaths,Spain,2015-04-09,0
Cumulative number of suspected Ebola deaths,Spain,2015-04-09,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-04-09,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-04-09,1
Cumulative number of probable Ebola deaths,United States of America,2015-04-09,0
Cumulative number of suspected Ebola deaths,United States of America,2015-04-09,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-04-09,1
Cumulative number of confirmed Ebola cases,Guinea,2015-04-13,3112
Cumulative number of suspected Ebola cases,Guinea,2015-04-13,15
Cumulative number of probable Ebola cases,Guinea,2015-04-13,414
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-04-13,3541
Cumulative number of probable Ebola deaths,Guinea,2015-04-13,414
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-04-13,2342
Cumulative number of confirmed Ebola deaths,Guinea,2015-04-13,1928
Cumulative number of confirmed Ebola cases,Liberia,2015-04-13,3151
Cumulative number of suspected Ebola cases,Liberia,2015-04-13,4832
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-04-13,9862
Cumulative number of probable Ebola cases,Liberia,2015-04-13,1879
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-04-13,4408
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-04-13,8560
Cumulative number of probable Ebola cases,Sierra Leone,2015-04-13,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-04-13,3341
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-04-13,12188
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-04-13,158
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-04-13,3854
