Indicator,Country,Date,value
Cumulative number of suspected Ebola deaths,United States of America,2015-02-27,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-27,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-02-26,1
Cumulative number of probable Ebola cases,United Kingdom,2015-02-26,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-02-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-26,3175
Cumulative number of confirmed Ebola cases,Guinea,2015-02-26,2781
Cumulative number of probable Ebola cases,Guinea,2015-02-26,387
Cumulative number of suspected Ebola cases,Guinea,2015-02-26,7
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-26,2101
Cumulative number of confirmed Ebola deaths,Guinea,2015-02-26,1714
Cumulative number of probable Ebola deaths,Guinea,2015-02-26,387
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-26,9265
Cumulative number of confirmed Ebola cases,Liberia,2015-02-26,3153
Cumulative number of probable Ebola cases,Liberia,2015-02-26,1888
Cumulative number of suspected Ebola cases,Liberia,2015-02-26,4224
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-26,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-26,11341
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-02-26,8308
Cumulative number of probable Ebola cases,Sierra Leone,2015-02-26,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-02-26,2746
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-26,3479
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-02-26,3113
Cumulative number of probable Ebola deaths,Sierra Leone,2015-02-26,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-02-26,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-26,1
Cumulative number of confirmed Ebola cases,Mali,2015-02-26,7
Cumulative number of probable Ebola cases,Mali,2015-02-26,1
